id;geopoint;country;landslide;fatalities;injuries;trigger;admin;sourcename;date;population;near
340;-41.3318, 174.8229;New Zealand;Landslide;0;0;Downpour;Wellington;;2010-06-06T09:00:00+02:00;3855;Brooklyn
341;37.39, 112.49;China;Landslide;5;0;Unknown;Shanxi Sheng;;2008-07-10T09:00:00+02:00;0;Mingxing
342;-8.2505, 115.3324;Indonesia;Landslide;2;0;Downpour;Bali;;2010-10-24T09:00:00+02:00;0;Banjar Kedisan
343;38.3922, -81.5896;United States;Mudslide;0;0;Downpour;West Virginia;;2011-05-10T09:00:00+02:00;51400;Charleston
344;28.023, 83.8049;Nepal;Landslide;4;0;Downpour;Western Region;;2012-09-17T09:00:00+02:00;21867;W?ling
345;11.5366, -85.622;Nicaragua;Landslide;0;0;Rain;Rivas;Prensa;2014-10-09T09:00:00+02:00;2771;Altagracia
346;27.6292, 104.0479;China;Landslide;0;0;Downpour;Yunnan;;2012-09-10T09:00:00+02:00;0;Jiaokui
347;10.7142, -61.5838;Trinidad and Tobago;Mudslide;0;0;Downpour;Diego Martin;;2011-12-02T09:00:00+01:00;8140;Petit Valley
348;23.4231, 111.2884;China;Landslide;5;0;Downpour;Guangxi Zhuangzu Zizhiqu;;2010-06-15T09:00:00+02:00;0;Longxu
349;-6.9092, 106.8762;Indonesia;Landslide;0;0;Rain;West Java;;2012-11-18T09:00:00+01:00;276414;Sukabumi
350;21.62, -158.026;United States;Rockfall;0;0;Unknown;Hawaii;;2008-12-14T09:00:00+01:00;4551;P??p??kea
351;12.5655, 124.0419;Philippines;Landslide;0;0;Downpour;Bicol;;2009-01-02T09:00:00+01:00;6721;Matnog
352;27.859, 83.6014;Nepal;Landslide;0;0;Downpour;Western Region;ekantipur.com;2013-07-22T09:00:00+02:00;23693;T?nsen
353;12.5054, 125.0039;Philippines;Landslide;2;0;Tropical_Cyclone;Eastern Visayas;WowPhilippines;2007-11-19T09:00:00+01:00;2024;Viga
354;25.2745, 113.1123;China;Landslide;0;4;Tropical_Cyclone;Guangdong;english.cri.cn;2013-08-16T09:00:00+02:00;0;Pingshi
355;41.73, 44.743;Azerbaijan;Landslide;4;0;Downpour;;;2008-09-18T09:00:00+02:00;4172;Tsqnet?i
356;26.876, 75.8101;India;Landslide;0;0;Downpour;Rajasthan;;2012-05-30T09:00:00+02:00;2711758;Jaipur
357;53.3319, -132.4149;Canada;Mudslide;0;0;Downpour;British Columbia;CFTK;2014-08-31T09:00:00+02:00;14708;Prince Rupert
358;-19.0587, 178.2123;Fiji;Landslide;0;0;Downpour;Central;;2010-11-16T09:00:00+01:00;77366;Suva
359;43.7495, -109.9673;United States;Landslide;0;0;Unknown;Wyoming;county10.com;2013-10-08T09:00:00+02:00;9577;Jackson
360;36.5851, 109.4875;China;Mudslide;0;0;Rain;Shaanxi;video.foxnews.com;2013-07-13T09:00:00+02:00;0;Bao?an
361;-44.7493, 167.9581;New Zealand;Rockfall;0;0;Unknown;Otago;news.com.au;2007-10-18T09:00:00+02:00;10442;Queenstown
362;29.5442, 81.6254;Nepal;Landslide;3;0;Continuous_rain;Mid Western;Sciency Thoughts;2014-06-07T09:00:00+02:00;9073;Jumla
363;-40.1685, 176.8242;New Zealand;Landslide;0;0;Downpour;Hawke's Bay;;2011-04-26T09:00:00+02:00;61696;Hastings
364;30.688, 79.0478;India;Landslide;0;0;Downpour;Uttarakhand;Times of India;2014-09-11T09:00:00+02:00;2571;Rudrapray?g
365;17.7963, 96.1703;Myanmar (Burma);Mudslide;0;0;Tropical_Cyclone;Bago;;2008-05-02T09:00:00+02:00;54386;Tharyarwady
366;24.75, 93.4333;India;Landslide;0;0;Rain;Assam;Hmar.net;2007-10-21T09:00:00+02:00;12871;Lakhipur
367;25.3179, 94.0462;India;Landslide;0;0;Downpour;N?g?land;;2010-10-09T09:00:00+02:00;92113;Kohima
368;34.8067, 73.5654;Pakistan;Mudslide;0;0;Downpour;Azad Kashmir;;2011-02-06T09:00:00+01:00;0;Athmuqam
369;44.1228, -122.3992;United States;Landslide;0;0;Rain;Oregon;;2012-03-12T08:00:00+01:00;1045;Lowell
370;25.8143, 90.5763;India;Landslide;0;0;Continuous_rain;Meghalaya;The New Indian Express;2014-09-24T09:00:00+02:00;14045;Lakhipur
371;48.2632, -124.3011;United States;Landslide;0;0;Rain;Washington;www.peninsuladailynews.com;2013-04-07T09:00:00+02:00;3532;Forks
372;34.2946, 75.4832;India;Mudslide;1;0;Rain;Kashmir;beforeitsnews.com;2013-04-26T09:00:00+02:00;7750;Pahalg?m
373;23.4333, 120.7803;Taiwan;Mudslide;0;0;Tropical_Cyclone;Taiwan;;2009-08-10T09:00:00+02:00;0;Jiayi Shi
374;21.2308, 92.1956;Bangladesh;Landslide;4;0;Downpour;Chittagong;;2010-06-15T09:00:00+02:00;253788;Cox?s B?z?r
375;28.9, 80.87;Nepal;Landslide;8;0;Monsoon;Far Western;;2008-07-18T09:00:00+02:00;92294;Dhangarhi
376;29.3559, 81.3097;Nepal;Mudslide;3;0;Mining_digging;Far Western;;2008-12-25T09:00:00+01:00;0;Achh?m
377;5.5779, -0.9992;Ghana;Landslide;0;0;Downpour;Central;;2012-10-19T09:00:00+02:00;50293;Swedru
378;-6.9675, 107.888;Indonesia;Landslide;0;0;Rain;West Java;www.thejakartapost.com;2013-01-03T09:00:00+01:00;0;Margabakti
379;49.0271, -122.872;Canada;Landslide;0;0;Unknown;British Columbia;Q13;2015-02-09T09:00:00+01:00;66450;White Rock
380;4.6176, -74.1899;Colombia;Mudslide;6;0;Downpour;Cundinamarca;;2011-12-08T09:00:00+01:00;313945;Soacha
381;6.2746, -75.6039;Colombia;Complex;27;0;Downpour;Antioquia;;2008-05-31T09:00:00+02:00;1999979;Medell??n
382;40.9959, 45.6886;Azerbaijan;Landslide;4;0;Downpour;Tovuz;;2010-04-27T09:00:00+02:00;12626;Tovuz
383;45.3401, 6.5319;France;Rock_Fall;0;0;Unknown;Rh??ne-Alpes;rfi;2015-02-27T09:00:00+01:00;3203;Saint-Martin-de-Belleville
384;-8.1969, 111.336;Indonesia;Landslide;0;0;Downpour;East Java;;2010-05-24T09:00:00+02:00;0;Sudimoro
385;36.04, 108.02;China;Landslide;6;0;Downpour;Gansu Sheng;;2008-07-05T09:00:00+02:00;0;Nanzhuang
386;-22.9363, -43.2347;Brazil;Landslide;0;0;Downpour;Rio de Janeiro;;2010-04-06T09:00:00+02:00;6023699;Rio de Janeiro
387;13.6396, 123.2806;Philippines;Landslide;2;0;Downpour;Bicol;;2011-08-25T09:00:00+02:00;4418;Palestina
388;9.2038, 123.596;Philippines;Landslide;0;0;Downpour;Central Visayas;;2011-07-28T09:00:00+02:00;0;Larena
389;10.4867, -66.9211;Venezuela;Landslide;0;0;Downpour;Distrito Federal;;2010-11-27T09:00:00+01:00;3000000;Caracas
390;21.4384, 92.0082;Bangladesh;Landslide;6;0;Downpour;Chittagong;;2010-06-15T09:00:00+02:00;253788;Cox?s B?z?r
391;-7.0089, 107.5524;Indonesia;Landslide;2;0;Rain;West Java;;2012-11-18T09:00:00+01:00;83119;Margahayukencana
392;33.2477, 75.1919;India;Landslide;0;0;Downpour;Kashmir;;2011-03-01T09:00:00+01:00;7317;R?mban
393;47.5944, -122.3881;United States;Mudslide;0;0;Rain;Washington;;2009-11-22T09:00:00+01:00;608660;Seattle
394;41.7396, 20.9307;Macedonia;Landslide;0;0;Downpour;Gostivar;;2010-03-15T08:00:00+01:00;3629;Srbinovo
395;45.1058, -72.5613;Canada;Landslide;0;0;Unknown;Quebec;CBC;2014-12-25T09:00:00+01:00;3805;Sutton
396;34.0679, -117.805;United States;Landslide;0;0;Downpour;California;;2010-04-25T09:00:00+02:00;33371;San Dimas
397;28.12, 82.86;Nepal;Mudslide;1;0;Mining_digging;Mid Western;;2010-01-10T09:00:00+01:00;0;Py??th?n
398;38.849, -119.6462;United States;Landslide;0;0;Downpour;Nevada;;2012-08-17T09:00:00+02:00;11312;Gardnerville Ranchos
